EmployeeID,FullName,Title,Birthdate,Gender,HireDate,JobTitle,AddressID,ModifiedDate
76,Erin Hagens,N/A,1971-01-04 00:00:00,F         ,2010-01-31 00:00:00,Buyer,87,2019-01-01 00:00:00
77,Dan Wilson,N/A,1976-01-06 00:00:00,M         ,2009-01-22 00:00:00,Database Administrator,88,2019-01-01 00:00:00
78,Gigi Matthew,N/A,1979-01-21 00:00:00,F         ,2009-01-16 00:00:00,Research and Development Engineer,89,2019-01-01 00:00:00
79,Min Su,N/A,1974-09-10 00:00:00,M         ,2010-01-24 00:00:00,Production Technician - WC20,90,2019-01-01 00:00:00
80,Shane Kim,N/A,1990-05-24 00:00:00,M         ,2009-02-08 00:00:00,Production Supervisor - WC45,91,2019-01-01 00:00:00
81,Terry Eminhizer,N/A,1986-02-04 00:00:00,M         ,2009-03-02 00:00:00,Marketing Specialist,92,2019-01-01 00:00:00
82,Greg Alderson,N/A,1970-10-18 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,93,2019-01-01 00:00:00
83,Jason Watters,N/A,1988-12-07 00:00:00,M         ,2009-01-14 00:00:00,Production Technician - WC30,94,2019-01-01 00:00:00
84,Gail Erickson,Ms.,1952-09-27 00:00:00,F         ,2008-01-06 00:00:00,Design Engineer,95,2019-01-01 00:00:00
85,Olinda Turner,N/A,1970-04-04 00:00:00,F         ,2010-03-04 00:00:00,Production Technician - WC20,97,2019-01-01 00:00:00
86,Paul Komosinski,N/A,1980-11-13 00:00:00,M         ,2008-12-04 00:00:00,Production Technician - WC40,98,2019-01-01 00:00:00
87,Sylvester Valdez,N/A,1970-11-12 00:00:00,M         ,2009-12-11 00:00:00,Production Technician - WC20,99,2019-01-01 00:00:00
88,Russell King,N/A,1982-02-11 00:00:00,M         ,2009-02-21 00:00:00,Production Technician - WC30,100,2019-01-01 00:00:00
89,Mary Dempsey,N/A,1978-01-29 00:00:00,F         ,2011-02-14 00:00:00,Marketing Assistant,101,2019-01-01 00:00:00
90,Stuart Munson,N/A,1962-09-13 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,103,2019-01-01 00:00:00
91,Terrence Earls,N/A,1984-12-08 00:00:00,M         ,2009-02-16 00:00:00,Production Technician - WC20,104,2019-01-01 00:00:00
92,Fukiko Ogisu,N/A,1970-11-24 00:00:00,M         ,2010-01-04 00:00:00,Buyer,105,2019-01-01 00:00:00
93,Samantha Smith,N/A,1987-11-22 00:00:00,F         ,2009-02-04 00:00:00,Production Technician - WC20,106,2019-01-01 00:00:00
94,Linda Moschell,N/A,1987-07-17 00:00:00,F         ,2008-12-25 00:00:00,Production Technician - WC50,108,2019-01-01 00:00:00
95,Suchitra Mohan,N/A,1987-06-10 00:00:00,F         ,2009-02-16 00:00:00,Production Technician - WC60,109,2019-01-01 00:00:00
96,Reinout Hillmann,N/A,1978-01-17 00:00:00,M         ,2010-12-25 00:00:00,Purchasing Assistant,110,2019-01-01 00:00:00
97,David Campbell,N/A,1974-02-11 00:00:00,M         ,2011-05-31 00:00:00,Sales Representative,111,2019-01-01 00:00:00
98,Rebecca Laszlo,N/A,1977-07-10 00:00:00,F         ,2008-12-29 00:00:00,Production Technician - WC60,112,2019-01-01 00:00:00
99,Paula Barreto de Mattos,N/A,1976-02-11 00:00:00,F         ,2008-12-06 00:00:00,Human Resources Manager,113,2019-01-01 00:00:00
100,Linda Meisner,N/A,1970-11-30 00:00:00,F         ,2009-12-17 00:00:00,Buyer,114,2019-01-01 00:00:00
101,Paul Singh,N/A,1990-11-04 00:00:00,M         ,2009-01-17 00:00:00,Production Technician - WC20,115,2019-01-01 00:00:00
102,Shammi Mohamed,N/A,1980-10-04 00:00:00,M         ,2008-12-24 00:00:00,Production Technician - WC40,116,2019-01-01 00:00:00
103,William Vong,N/A,1981-11-06 00:00:00,M         ,2009-01-07 00:00:00,Scheduling Assistant,117,2019-01-01 00:00:00
104,Patrick Wedge,N/A,1986-09-10 00:00:00,M         ,2010-02-01 00:00:00,Production Technician - WC10,118,2019-01-01 00:00:00
105,Andy Ruth,N/A,1983-10-20 00:00:00,M         ,2009-01-31 00:00:00,Production Technician - WC30,119,2019-01-01 00:00:00
106,Kok-Ho Loh,N/A,1980-04-28 00:00:00,M         ,2008-12-27 00:00:00,Production Supervisor - WC50,121,2019-01-01 00:00:00
107,Rostislav Shabalin,N/A,1977-09-13 00:00:00,M         ,2009-02-19 00:00:00,Production Technician - WC30,122,2019-01-01 00:00:00
108,Kevin Homer,N/A,1986-09-19 00:00:00,M         ,2009-12-25 00:00:00,Production Technician - WC10,123,2019-01-01 00:00:00
109,Peter Krebs,N/A,1982-11-03 00:00:00,M         ,2008-12-01 00:00:00,Production Control Manager,124,2019-01-01 00:00:00
110,Gordon Hee,N/A,1966-11-29 00:00:00,M         ,2010-01-11 00:00:00,Buyer,125,2019-01-01 00:00:00
111,Nuan Yu,N/A,1979-03-29 00:00:00,M         ,2009-01-06 00:00:00,Production Technician - WC50,126,2019-01-01 00:00:00
112,Erin Hagens,N/A,1971-01-04 00:00:00,F         ,2010-01-31 00:00:00,Buyer,128,2019-01-01 00:00:00
113,Dan Wilson,N/A,1976-01-06 00:00:00,M         ,2009-01-22 00:00:00,Database Administrator,129,2019-01-01 00:00:00
114,Gigi Matthew,N/A,1979-01-21 00:00:00,F         ,2009-01-16 00:00:00,Research and Development Engineer,130,2019-01-01 00:00:00
115,Min Su,N/A,1974-09-10 00:00:00,M         ,2010-01-24 00:00:00,Production Technician - WC20,131,2019-01-01 00:00:00
116,Shane Kim,N/A,1990-05-24 00:00:00,M         ,2009-02-08 00:00:00,Production Supervisor - WC45,132,2019-01-01 00:00:00
117,Terry Eminhizer,N/A,1986-02-04 00:00:00,M         ,2009-03-02 00:00:00,Marketing Specialist,133,2019-01-01 00:00:00
118,Greg Alderson,N/A,1970-10-18 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,134,2019-01-01 00:00:00
119,Jason Watters,N/A,1988-12-07 00:00:00,M         ,2009-01-14 00:00:00,Production Technician - WC30,135,2019-01-01 00:00:00
120,Gail Erickson,Ms.,1952-09-27 00:00:00,F         ,2008-01-06 00:00:00,Design Engineer,136,2019-01-01 00:00:00
121,Olinda Turner,N/A,1970-04-04 00:00:00,F         ,2010-03-04 00:00:00,Production Technician - WC20,138,2019-01-01 00:00:00
122,Paul Komosinski,N/A,1980-11-13 00:00:00,M         ,2008-12-04 00:00:00,Production Technician - WC40,139,2019-01-01 00:00:00
123,Sylvester Valdez,N/A,1970-11-12 00:00:00,M         ,2009-12-11 00:00:00,Production Technician - WC20,140,2019-01-01 00:00:00
124,Russell King,N/A,1982-02-11 00:00:00,M         ,2009-02-21 00:00:00,Production Technician - WC30,141,2019-01-01 00:00:00
125,Mary Dempsey,N/A,1978-01-29 00:00:00,F         ,2011-02-14 00:00:00,Marketing Assistant,142,2019-01-01 00:00:00
126,Stuart Munson,N/A,1962-09-13 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,144,2019-01-01 00:00:00
127,Terrence Earls,N/A,1984-12-08 00:00:00,M         ,2009-02-16 00:00:00,Production Technician - WC20,145,2019-01-01 00:00:00
128,Fukiko Ogisu,N/A,1970-11-24 00:00:00,M         ,2010-01-04 00:00:00,Buyer,146,2019-01-01 00:00:00
129,Samantha Smith,N/A,1987-11-22 00:00:00,F         ,2009-02-04 00:00:00,Production Technician - WC20,147,2019-01-01 00:00:00
130,Linda Moschell,N/A,1987-07-17 00:00:00,F         ,2008-12-25 00:00:00,Production Technician - WC50,149,2019-01-01 00:00:00
131,Suchitra Mohan,N/A,1987-06-10 00:00:00,F         ,2009-02-16 00:00:00,Production Technician - WC60,150,2019-01-01 00:00:00
132,Reinout Hillmann,N/A,1978-01-17 00:00:00,M         ,2010-12-25 00:00:00,Purchasing Assistant,151,2019-01-01 00:00:00
133,David Campbell,N/A,1974-02-11 00:00:00,M         ,2011-05-31 00:00:00,Sales Representative,152,2019-01-01 00:00:00
134,Rebecca Laszlo,N/A,1977-07-10 00:00:00,F         ,2008-12-29 00:00:00,Production Technician - WC60,153,2019-01-01 00:00:00
135,Paula Barreto de Mattos,N/A,1976-02-11 00:00:00,F         ,2008-12-06 00:00:00,Human Resources Manager,154,2019-01-01 00:00:00
136,Linda Meisner,N/A,1970-11-30 00:00:00,F         ,2009-12-17 00:00:00,Buyer,155,2019-01-01 00:00:00
137,Paul Singh,N/A,1990-11-04 00:00:00,M         ,2009-01-17 00:00:00,Production Technician - WC20,156,2019-01-01 00:00:00
138,Shammi Mohamed,N/A,1980-10-04 00:00:00,M         ,2008-12-24 00:00:00,Production Technician - WC40,157,2019-01-01 00:00:00
139,William Vong,N/A,1981-11-06 00:00:00,M         ,2009-01-07 00:00:00,Scheduling Assistant,158,2019-01-01 00:00:00
140,Patrick Wedge,N/A,1986-09-10 00:00:00,M         ,2010-02-01 00:00:00,Production Technician - WC10,159,2019-01-01 00:00:00
141,Andy Ruth,N/A,1983-10-20 00:00:00,M         ,2009-01-31 00:00:00,Production Technician - WC30,160,2019-01-01 00:00:00
142,Kok-Ho Loh,N/A,1980-04-28 00:00:00,M         ,2008-12-27 00:00:00,Production Supervisor - WC50,162,2019-01-01 00:00:00
143,Rostislav Shabalin,N/A,1977-09-13 00:00:00,M         ,2009-02-19 00:00:00,Production Technician - WC30,163,2019-01-01 00:00:00
144,Kevin Homer,N/A,1986-09-19 00:00:00,M         ,2009-12-25 00:00:00,Production Technician - WC10,164,2019-01-01 00:00:00
145,Peter Krebs,N/A,1982-11-03 00:00:00,M         ,2008-12-01 00:00:00,Production Control Manager,165,2019-01-01 00:00:00
146,Gordon Hee,N/A,1966-11-29 00:00:00,M         ,2010-01-11 00:00:00,Buyer,166,2019-01-01 00:00:00
147,Nuan Yu,N/A,1979-03-29 00:00:00,M         ,2009-01-06 00:00:00,Production Technician - WC50,167,2019-01-01 00:00:00
148,Erin Hagens,N/A,1971-01-04 00:00:00,F         ,2010-01-31 00:00:00,Buyer,169,2019-01-01 00:00:00
149,Dan Wilson,N/A,1976-01-06 00:00:00,M         ,2009-01-22 00:00:00,Database Administrator,170,2019-01-01 00:00:00
150,Gigi Matthew,N/A,1979-01-21 00:00:00,F         ,2009-01-16 00:00:00,Research and Development Engineer,171,2019-01-01 00:00:00
151,Min Su,N/A,1974-09-10 00:00:00,M         ,2010-01-24 00:00:00,Production Technician - WC20,172,2019-01-01 00:00:00
152,Shane Kim,N/A,1990-05-24 00:00:00,M         ,2009-02-08 00:00:00,Production Supervisor - WC45,173,2019-01-01 00:00:00
153,Terry Eminhizer,N/A,1986-02-04 00:00:00,M         ,2009-03-02 00:00:00,Marketing Specialist,174,2019-01-01 00:00:00
154,Greg Alderson,N/A,1970-10-18 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,175,2019-01-01 00:00:00
155,Jason Watters,N/A,1988-12-07 00:00:00,M         ,2009-01-14 00:00:00,Production Technician - WC30,176,2019-01-01 00:00:00
156,Gail Erickson,Ms.,1952-09-27 00:00:00,F         ,2008-01-06 00:00:00,Design Engineer,177,2019-01-01 00:00:00
157,Olinda Turner,N/A,1970-04-04 00:00:00,F         ,2010-03-04 00:00:00,Production Technician - WC20,179,2019-01-01 00:00:00
158,Paul Komosinski,N/A,1980-11-13 00:00:00,M         ,2008-12-04 00:00:00,Production Technician - WC40,180,2019-01-01 00:00:00
159,Sylvester Valdez,N/A,1970-11-12 00:00:00,M         ,2009-12-11 00:00:00,Production Technician - WC20,181,2019-01-01 00:00:00
160,Russell King,N/A,1982-02-11 00:00:00,M         ,2009-02-21 00:00:00,Production Technician - WC30,182,2019-01-01 00:00:00
161,Mary Dempsey,N/A,1978-01-29 00:00:00,F         ,2011-02-14 00:00:00,Marketing Assistant,183,2019-01-01 00:00:00
162,Stuart Munson,N/A,1962-09-13 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,185,2019-01-01 00:00:00
163,Terrence Earls,N/A,1984-12-08 00:00:00,M         ,2009-02-16 00:00:00,Production Technician - WC20,186,2019-01-01 00:00:00
164,Fukiko Ogisu,N/A,1970-11-24 00:00:00,M         ,2010-01-04 00:00:00,Buyer,187,2019-01-01 00:00:00
165,Samantha Smith,N/A,1987-11-22 00:00:00,F         ,2009-02-04 00:00:00,Production Technician - WC20,188,2019-01-01 00:00:00
166,Linda Moschell,N/A,1987-07-17 00:00:00,F         ,2008-12-25 00:00:00,Production Technician - WC50,190,2019-01-01 00:00:00
167,Suchitra Mohan,N/A,1987-06-10 00:00:00,F         ,2009-02-16 00:00:00,Production Technician - WC60,191,2019-01-01 00:00:00
168,Reinout Hillmann,N/A,1978-01-17 00:00:00,M         ,2010-12-25 00:00:00,Purchasing Assistant,192,2019-01-01 00:00:00
169,David Campbell,N/A,1974-02-11 00:00:00,M         ,2011-05-31 00:00:00,Sales Representative,193,2019-01-01 00:00:00
170,Rebecca Laszlo,N/A,1977-07-10 00:00:00,F         ,2008-12-29 00:00:00,Production Technician - WC60,194,2019-01-01 00:00:00
171,Paula Barreto de Mattos,N/A,1976-02-11 00:00:00,F         ,2008-12-06 00:00:00,Human Resources Manager,195,2019-01-01 00:00:00
172,Linda Meisner,N/A,1970-11-30 00:00:00,F         ,2009-12-17 00:00:00,Buyer,196,2019-01-01 00:00:00
173,Paul Singh,N/A,1990-11-04 00:00:00,M         ,2009-01-17 00:00:00,Production Technician - WC20,197,2019-01-01 00:00:00
174,Shammi Mohamed,N/A,1980-10-04 00:00:00,M         ,2008-12-24 00:00:00,Production Technician - WC40,198,2019-01-01 00:00:00
175,William Vong,N/A,1981-11-06 00:00:00,M         ,2009-01-07 00:00:00,Scheduling Assistant,199,2019-01-01 00:00:00
176,Patrick Wedge,N/A,1986-09-10 00:00:00,M         ,2010-02-01 00:00:00,Production Technician - WC10,200,2019-01-01 00:00:00
177,Andy Ruth,N/A,1983-10-20 00:00:00,M         ,2009-01-31 00:00:00,Production Technician - WC30,201,2019-01-01 00:00:00
178,Kok-Ho Loh,N/A,1980-04-28 00:00:00,M         ,2008-12-27 00:00:00,Production Supervisor - WC50,203,2019-01-01 00:00:00
179,Rostislav Shabalin,N/A,1977-09-13 00:00:00,M         ,2009-02-19 00:00:00,Production Technician - WC30,204,2019-01-01 00:00:00
180,Kevin Homer,N/A,1986-09-19 00:00:00,M         ,2009-12-25 00:00:00,Production Technician - WC10,205,2019-01-01 00:00:00
181,Peter Krebs,N/A,1982-11-03 00:00:00,M         ,2008-12-01 00:00:00,Production Control Manager,206,2019-01-01 00:00:00
182,Gordon Hee,N/A,1966-11-29 00:00:00,M         ,2010-01-11 00:00:00,Buyer,207,2019-01-01 00:00:00
183,Nuan Yu,N/A,1979-03-29 00:00:00,M         ,2009-01-06 00:00:00,Production Technician - WC50,208,2019-01-01 00:00:00
184,Erin Hagens,N/A,1971-01-04 00:00:00,F         ,2010-01-31 00:00:00,Buyer,210,2019-01-01 00:00:00
185,Dan Wilson,N/A,1976-01-06 00:00:00,M         ,2009-01-22 00:00:00,Database Administrator,211,2019-01-01 00:00:00
186,Gigi Matthew,N/A,1979-01-21 00:00:00,F         ,2009-01-16 00:00:00,Research and Development Engineer,212,2019-01-01 00:00:00
187,Min Su,N/A,1974-09-10 00:00:00,M         ,2010-01-24 00:00:00,Production Technician - WC20,213,2019-01-01 00:00:00
188,Shane Kim,N/A,1990-05-24 00:00:00,M         ,2009-02-08 00:00:00,Production Supervisor - WC45,214,2019-01-01 00:00:00
189,Terry Eminhizer,N/A,1986-02-04 00:00:00,M         ,2009-03-02 00:00:00,Marketing Specialist,215,2019-01-01 00:00:00
190,Greg Alderson,N/A,1970-10-18 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,216,2019-01-01 00:00:00
191,Jason Watters,N/A,1988-12-07 00:00:00,M         ,2009-01-14 00:00:00,Production Technician - WC30,217,2019-01-01 00:00:00
192,Gail Erickson,Ms.,1952-09-27 00:00:00,F         ,2008-01-06 00:00:00,Design Engineer,218,2019-01-01 00:00:00
193,Olinda Turner,N/A,1970-04-04 00:00:00,F         ,2010-03-04 00:00:00,Production Technician - WC20,220,2019-01-01 00:00:00
194,Paul Komosinski,N/A,1980-11-13 00:00:00,M         ,2008-12-04 00:00:00,Production Technician - WC40,221,2019-01-01 00:00:00
195,Sylvester Valdez,N/A,1970-11-12 00:00:00,M         ,2009-12-11 00:00:00,Production Technician - WC20,222,2019-01-01 00:00:00
196,Russell King,N/A,1982-02-11 00:00:00,M         ,2009-02-21 00:00:00,Production Technician - WC30,223,2019-01-01 00:00:00
197,Mary Dempsey,N/A,1978-01-29 00:00:00,F         ,2011-02-14 00:00:00,Marketing Assistant,224,2019-01-01 00:00:00
198,Stuart Munson,N/A,1962-09-13 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,226,2019-01-01 00:00:00
199,Terrence Earls,N/A,1984-12-08 00:00:00,M         ,2009-02-16 00:00:00,Production Technician - WC20,227,2019-01-01 00:00:00
200,Fukiko Ogisu,N/A,1970-11-24 00:00:00,M         ,2010-01-04 00:00:00,Buyer,228,2019-01-01 00:00:00
201,Samantha Smith,N/A,1987-11-22 00:00:00,F         ,2009-02-04 00:00:00,Production Technician - WC20,229,2019-01-01 00:00:00
202,Linda Moschell,N/A,1987-07-17 00:00:00,F         ,2008-12-25 00:00:00,Production Technician - WC50,231,2019-01-01 00:00:00
